FTSE Nareit U.S. Real Estate Index Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Index Values and Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1971 - May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Returns and dividend yield in percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All REITs,,,,,,,Composite,,,,,,,Real Estate 50TM,,,,,,,All Equity REITs,,,,,,,Equity REITs,,,,,,,Mortgage REITs,,,,,,
,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income ,Dividend,
Date,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-21,-5.73,"10,027.59",-6.23,248.88,0.50,3.18,,-5.75,"9,844.86",-6.25,243.04,0.50,3.18,,-6.17,"1,058.52",-6.66,386.77,0.49,2.96,,-5.92,"24,640.59",-6.38,849.61,0.46,2.92,,-5.40,"22,835.43",-5.86,773.40,0.46,3.09,,-2.27,"1,351.87",-3.71,4.35,1.44,8.41,
Oct-21,6.92,"10,721.35",6.81,265.82,0.11,3.04,,6.92,"10,526.39",6.81,259.58,0.12,3.05,,7.17,"1,134.42",7.08,414.14,0.09,2.84,,7.08,"26,384.62",6.98,908.88,0.10,2.79,,7.60,"24,571.18",7.51,831.48,0.09,2.88,,3.85,"1,403.88",3.44,4.49,0.41,8.23,
Nov-21,-1.28,"10,584.65",-1.41,262.07,0.13,3.10,,-1.23,"10,397.18",-1.36,256.05,0.14,3.10,,-0.99,"1,123.14",-1.12,409.48,0.13,2.89,,-1.01,"26,117.18",-1.14,898.47,0.13,2.84,,-0.67,"24,405.41",-0.83,824.57,0.16,2.92,,-5.59,"1,325.35",-5.81,4.23,0.21,8.73,
Dec-21,9.18,"11,556.48",8.60,284.61,0.58,2.85,,9.21,"11,354.85",8.63,278.15,0.58,2.85,,9.74,"1,232.52",9.18,447.05,0.56,2.59,,9.60,"28,625.44",9.08,980.08,0.52,2.59,,8.83,"26,560.86",8.32,893.20,0.51,2.72,,0.85,"1,336.66",-0.92,4.19,1.78,8.91,
Jan-22,-7.71,"10,665.22",-7.79,262.44,0.08,3.08,,-7.68,"10,482.97",-7.76,256.57,0.08,3.08,,-8.12,"1,132.39",-8.18,410.48,0.06,2.83,,-7.93,"26,354.72",-8.01,901.61,0.07,2.80,,-6.85,"24,742.16",-6.94,831.22,0.09,2.91,,-1.79,"1,312.68",-1.98,4.11,0.19,9.06,
Feb-22,-3.92,"10,247.51",-4.01,251.91,0.10,3.21,,-3.99,"10,064.60",-4.09,246.08,0.10,3.22,,-4.61,"1,080.19",-4.69,391.23,0.08,2.98,,-3.89,"25,328.68",-3.99,865.65,0.10,2.92,,-3.13,"23,967.70",-3.25,804.23,0.12,3.01,,-6.12,"1,232.37",-6.28,3.85,0.16,9.67,
Mar-22,6.86,"10,950.83",6.26,267.69,0.60,3.14,,6.90,"10,759.26",6.30,261.59,0.60,3.13,,7.32,"1,159.29",6.73,417.56,0.59,2.89,,7.07,"27,119.13",6.52,922.08,0.55,2.86,,6.55,"25,536.64",5.97,852.21,0.58,2.97,,3.19,"1,271.71",1.51,3.91,1.68,9.54,
Apr-22,-4.03,"10,509.89",-4.16,256.54,0.14,3.29,,-3.89,"10,340.46",-4.03,251.05,0.14,3.28,,-3.25,"1,121.67",-3.34,403.59,0.10,3.00,,-3.66,"26,127.91",-3.77,887.28,0.12,2.98,,-4.39,"24,415.01",-4.49,813.96,0.10,3.13,,-9.43,"1,151.80",-9.96,3.52,0.53,10.61,
May-22,-4.32,"10,055.56",-4.45,245.12,0.13,3.47,,-4.35,"9,890.20",-4.48,239.80,0.13,3.45,,-4.75,"1,068.37",-4.87,383.96,0.11,3.16,,-4.68,"24,904.74",-4.80,844.66,0.12,3.15,,-6.23,"22,892.75",-6.38,762.05,0.14,3.36,,3.78,"1,195.29",3.48,3.64,0.30,10.30,
Jun-22,-7.27,"9,324.44",-7.91,225.74,0.64,3.80,,-7.24,"9,174.53",-7.87,220.93,0.63,3.78,,-6.60,997.84,-7.23,356.20,0.63,3.44,,-7.10,"23,136.73",-7.68,779.82,0.58,3.44,,-7.41,"21,195.81",-7.99,701.16,0.58,3.68,,-10.38,"1,071.24",-12.27,3.20,1.89,11.83,
