,CASH,CASH_yield
1980-08-11,1.0780481105383417,0.0007084931412788286
1980-08-12,1.079284728244272,0.000241917806128933
1980-08-13,1.0800000578094633,0.00023671233817322614
1980-08-14,1.0807652339594056,0.00023424658056807844
1980-08-15,1.080543089015943,0.0002315068440894558
1980-08-18,1.0783384311243818,0.0007019178050838104
1980-08-19,1.0772111271222728,0.00024958903168978755
1980-08-20,1.0778423021077637,0.0002569863045052306
1980-08-21,1.0761067615545656,0.0002550685046470328
1980-08-22,1.0772085280378139,0.00026575341943192157
1980-08-25,1.076803091048467,0.0007841095859057282
1980-08-26,1.0762650627961443,0.00026794519816359427
1980-08-27,1.0758862275226766,0.0002723287556269397
1980-08-28,1.0748982961333255,0.0002758904025979238
1980-08-29,1.077039343045764,0.0002827397176664169
1980-09-02,1.0786531716339773,0.0010915068534955586
1980-09-03,1.0796075015937294,0.000270410955768742
1980-09-04,1.0798382048209152,0.0002668493087977579
1980-09-05,1.0800177799645767,0.0002671232876712329
1980-09-08,1.0791709463793795,0.0008030137362545483
1980-09-09,1.07977192769836,0.00027671233921834864
1980-09-10,1.0805773439513155,0.0002750684921055624
1980-09-11,1.079837259708166,0.0002723287556269397
1980-09-12,1.0797203953976366,0.00027780822858418505
1980-09-15,1.0793271068587964,0.0008400000219475732
1980-09-16,1.0805546535058075,0.0002868493223843509
1980-09-17,1.0805964999649784,0.00028191780717405553
1980-09-18,1.0818736789773602,0.00028328767541336685
1980-09-19,1.0827867202980395,0.00027808218132959655
1980-09-22,1.080936099725346,0.0008243835396962622
1980-09-23,1.0824249271877373,0.00028931507998949864
1980-09-24,1.0836009127301707,0.0002830136965398919
1980-09-25,1.0828663724008278,0.0002783561602030715
1980-09-26,1.080805039019989,0.0002838356070322533
1980-09-29,1.0799060041162796,0.0008893150434102097
1980-09-30,1.078902951944387,0.00030630137822399404
1980-10-01,1.079184168159687,0.00031342464603789866
1980-10-02,1.0791086500248428,0.00031369862491137363
1980-10-03,1.080464863308614,0.00031589040364304633
1980-10-06,1.082425517294537,0.0009312328704415935
1980-10-07,1.0819303206199873,0.00030520548885815764
1980-10-08,1.0818498737014834,0.0003095890463215031
1980-10-09,1.0834109602519402,0.00031178082505317584
1980-10-10,1.0831715467801546,0.00030520548885815764
1980-10-14,1.0848422240258269,0.001232876712328767
1980-10-15,1.0865573403806958,0.00030630137822399404
1980-10-16,1.0865156614275064,0.00029890410540855093
1980-10-17,1.0857047715169714,0.0003008219052667487
1980-10-20,1.0861211804491153,0.0009205479295286412
1980-10-21,1.0847582495805594,0.00030986302519497806
1980-10-22,1.0842276084615377,0.00031890411899514393
1980-10-23,1.084674868872823,0.00032356165533196435
1980-10-24,1.0852754216137661,0.00032301369758501447
1980-10-27,1.0833911283631044,0.0009649314880371093
